yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2017,Q1,KEN,RWA,37262675,1201,19.9780,2.2399,415,187,48188271,12009263,103,824,43,77,13.47,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q2,KEN,RWA,41420342,1201,20.9154,2.2989,432,190,48440240,12082508,103,834,47,95,12.59,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q3,KEN,RWA,47733011,1201,20.4307,2.3092,420,190,48693526,12156199,104,842,44,136,13.34,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q4,KEN,RWA,39184197,1201,20.7195,2.3330,423,191,48948137,12230339,103,852,47,90,13.97,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q1,KEN,RWA,38153933,1201,22.4538,2.3621,456,192,49231724,12310059,102,858,48,92,14.71,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q2,KEN,RWA,50518117,1201,23.6403,2.3701,478,191,49471085,12383536,101,868,46,93,20.66,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q3,KEN,RWA,44974966,1201,23.0850,2.3776,464,191,49711610,12457451,101,875,45,115,15.17,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2018,Q4,KEN,RWA,42618116,1201,23.0613,2.4155,462,193,49953304,12531808,102,886,46,98,19.98,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q1,KEN,RWA,41970585,1201,24.6610,2.4049,491,191,50201420,12611239,101,896,45,92,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q2,KEN,RWA,55257580,1201,25.6314,2.5913,508,204,50450195,12685398,101,906,51,89,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q3,KEN,RWA,68355876,1201,24.8063,2.5685,489,201,50700203,12759994,103,917,44,88,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2019,Q4,KEN,RWA,61388161,1201,25.3330,2.6372,497,205,50951450,12835028,102,931,46,110,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q1,KEN,RWA,59878100,1201,26.9232,2.5405,526,197,51211110,12912698,102,948,41,98,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q2,KEN,RWA,41857757,1201,24.5521,2.2924,477,176,51468042,12990121,106,949,54,105,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q3,KEN,RWA,69838292,1201,23.5359,2.5490,455,195,51726263,13068008,108,962,48,110,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2020,Q4,KEN,RWA,65300586,1201,25.7673,2.6176,496,199,51985780,13146362,109,983,43,113,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q1,KEN,RWA,53571331,1201,26.9973,2.6136,516,198,52276094,13231822,110,990,57,93,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q2,KEN,RWA,61267529,1201,28.2774,2.6819,538,202,52518145,13308071,108,995,45,108,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q3,KEN,RWA,65726100,1201,26.9979,2.7477,512,205,52761316,13384758,109,1004,44,73,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2021,Q4,KEN,RWA,97041909,1201,28.0614,2.8978,529,215,53005614,13461888,112,1011,49,74,0.00,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q1,KEN,RWA,59571094,1201,25.5882,4.0204,480,299,53282780,13454747,119,1014,68,51,5.41,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q2,KEN,RWA,84715625,1201,26.3049,4.4584,491,330,53561396,13525102,123,1021,62,51,6.69,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q3,KEN,RWA,98524219,1201,25.7159,3.7474,478,276,53841468,13595825,126,1033,48,20,2.87,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2022,Q4,KEN,RWA,71617969,1201,26.9805,4.4199,499,323,54123005,13666917,128,1054,18,27,1.99,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q1,KEN,RWA,73198438,1201,29.0096,3.8677,533,282,54406014,13738381,130,1088,23,42,5.77,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q2,KEN,RWA,82923438,1201,29.4666,3.9669,539,287,54690503,13810219,133,1128,19,37,7.33,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q3,KEN,RWA,91278906,1201,28.1027,3.4317,511,247,54976480,13882433,135,1187,17,35,6.98,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2023,Q4,KEN,RWA,83170313,1201,29.9815,4.057,543,291,55263952,13955024,137,1238,21,42,5.79,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q1,KEN,RWA,80701563,1201,30.9074,3.5322,556,252,55552927,14027995,138,1279,22,37,6.94,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q2,KEN,RWA,77768750,1201,31.4302,3.7731,563,268,55843414,14101347,139,1300,20,38,6.48,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q3,KEN,RWA,97360938,1201,30.1979,3.2929,538,232,56135419,14175083,140,1327,17,36,6.29,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2024,Q4,KEN,RWA,72060156,1201,33.258,3.8529,589,270,56428951,14249205,141,1366,31,52,6.99,0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,
2017,Q1,KEN,UG,163154573,688,19.9780,7.4317,415,190,48188271,39120314,103,3596,43,77,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2017,Q2,KEN,UG,139537854,688,20.9154,7.6049,432,193,48440240,39453066,103,3613,47,95,13,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
